country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Albania,ALB,Eastern Europe,2015,5.164786073,8.865642363,6.666666667,9.235185185,10,8.642857143,6.25,7.923799103,5.003488819,9.585625237,8.112451744,7.035654872,7.587078008,61,7.53,34,7.558539004,49,2
Algeria,DZA,Middle East & North Africa,2015,3.895039415,8.017162957,5,5.322592593,5,7.416666667,0.833333333,3.48222343,4.551817203,6.852789873,4.008431962,5.264769527,5.335309852,142,4.83,156,5.082654926,152,4
Angola,AGO,Sub-Saharan Africa,2015,3.512106161,8.297864524,5,8.757037037,4,6.547619048,7.5,6.155508356,2.960263718,6.88546476,5.143997963,6.065583361,6.13295828,114,5.44,148,5.78647914,137,4
Argentina,ARG,Latin America & the Caribbean,2015,5.535099829,8.962107772,10,7.888888889,7.5,8.619047619,10,5.333556135,3.81636162,6.455330731,3.730787481,5.549339485,8.025095551,45,4.98,153,6.502547776,107,3
Armenia,ARM,Caucasus & Central Asia,2015,4.679989714,8.930382953,6.666666667,6.37037037,6.5,7.154761905,8,7.070956595,5.777803721,9.481225478,8.242619487,7.364916892,6.871773061,87,7.59,29,7.23088653,63,2
Australia,AUS,Oceania,2015,7.893906437,9.865921211,10,9.140740741,10,9.357142857,9.25,6.59344285,7.994810648,9.36013851,7.60074244,8.45647826,9.214745272,11,8,8,8.607372636,5,1
Austria,AUT,Western Europe,2015,8.577467629,9.929328543,10,8.233333333,10,9.297619048,10,5.073794924,8.015541357,9.616600404,8.12194709,7.388044299,9.379794281,3,7.64,27,8.509897141,12,1
Azerbaijan,AZE,Caucasus & Central Asia,2015,4.262049381,8.826463112,5,5.689259259,3,2.863230245,6.25,5.190154896,5.321383003,7.307812065,7.103099424,6.977047604,5.552377074,137,6.38,115,5.966188537,131,4
Bahamas,BHS,Latin America & the Caribbean,2015,6.631374697,5,10,7.802777778,,8.958333333,10,8.302037629,6.80080997,6.779305572,6.716868335,8.169124596,7.502982563,63,7.35,50,7.426491282,52,2
Bahrain,BHR,Middle East & North Africa,2015,5.972326253,7.746455847,6.666666667,7.761111111,5,4.130952381,3.333333333,6.767397932,5.265601604,9.182060969,7.425336752,8.234171275,6.118901874,118,7.37,48,6.744450937,85,3
Bangladesh,BGD,South Asia,2015,3.090543409,7.542737251,5,6.557777778,7,6.531109157,1.25,8.862029942,3.01713395,7.02942331,5.990862276,6.728536093,5.292208858,145,6.33,117,5.811104429,136,4
Barbados,BRD,Latin America & the Caribbean,2015,6.965364492,7.818568207,10,8.819444444,,9.1875,5,6.404000192,5.756723061,6.728208739,7.089900747,6.529691271,7.82185123,50,6.5,107,7.160925615,64,2
Belarus,BLR,Eastern Europe,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,Western Europe,2015,8.075732926,9.740135637,10,8.305555556,10,9.761904762,9.25,3.854074508,7.254599508,9.664241683,8.26008994,8.098134701,9.185713173,12,7.43,43,8.307856586,21,1
